弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
《只要》,0分23秒,2023--04--11 19:37:22,顶部弹幕,25,97ec3b8f
新品：流心馅,2分36秒,2023--04--11 19:35:56,普通弹幕,25,3e687c60
我觉得还行呀？？,2分7秒,2023--04--11 19:35:13,普通弹幕,25,3e687c60
8,0分19秒,2023--04--11 19:30:37,普通弹幕,25,65ae50fd
888888,1分3秒,2023--04--11 19:26:22,普通弹幕,25,be42d977
888888,0分34秒,2023--04--11 19:25:39,普通弹幕,25,b3e000d7
888888,0分50秒,2023--04--11 19:11:30,普通弹幕,25,8d49e745
88888,0分18秒,2023--04--11 19:07:18,普通弹幕,25,8efb9a5d
888888,0分41秒,2023--04--11 19:00:13,普通弹幕,25,afe256db
888888,0分50秒,2023--04--11 18:47:34,普通弹幕,25,da742933
8888888,0分18秒,2023--04--11 18:40:31,普通弹幕,25,ac5e6947
888,0分15秒,2023--04--11 18:39:03,普通弹幕,25,dff07004
蛋Ta 四声,0分6秒,2023--04--11 18:33:43,普通弹幕,25,9245fb02
888888,0分46秒,2023--04--11 18:28:59,普通弹幕,25,d437d69f
888888,0分29秒,2023--04--11 18:20:29,普通弹幕,25,3428e868
血盆大口,5分29秒,2023--04--11 18:13:52,普通弹幕,25,71f38863
888888,0分58秒,2023--04--11 18:12:36,普通弹幕,25,39ac433
8,0分25秒,2023--04--11 18:04:00,普通弹幕,25,95da7d12
"姐,分我吃一口吧",0分0秒,2023--04--11 18:00:16,顶部弹幕,25,c44c81ba
888888,0分16秒,2023--04--11 18:00:12,普通弹幕,25,dedf4709
起筋了吧,3分28秒,2023--04--11 17:59:07,普通弹幕,25,dd9e3ea
8,0分19秒,2023--04--11 17:47:23,普通弹幕,25,ecbed5fd
88888,0分20秒,2023--04--11 17:32:26,普通弹幕,25,20ae55c1
很腻啊兄弟,0分12秒,2023--04--11 17:31:44,普通弹幕,25,96ffdff0
8,0分30秒,2023--04--11 17:31:43,普通弹幕,25,8e9551c5
8888,0分16秒,2023--04--11 17:30:03,普通弹幕,25,7030ab27
8,0分28秒,2023--04--11 17:24:51,普通弹幕,25,50ead7b5
888888,0分37秒,2023--04--11 17:23:15,普通弹幕,25,986f57a
这一瞬间意识到必须要娶珍妮,5分22秒,2023--04--11 17:22:13,普通弹幕,25,cc6a7dff
888,0分22秒,2023--04--11 17:18:02,普通弹幕,25,3ea65722
8,0分18秒,2023--04--11 17:17:45,普通弹幕,25,3ea65722
888888,0分57秒,2023--04--11 17:16:19,普通弹幕,25,c8a4fda
88888888,0分32秒,2023--04--11 17:14:56,顶部弹幕,25,b03cfe7e
8,0分22秒,2023--04--11 17:02:31,普通弹幕,25,2424307b
我就知道 十个人九个做这个第一次都是不熟,2分40秒,2023--04--11 16:58:46,普通弹幕,25,4ce3508b
888888,0分56秒,2023--04--11 16:46:36,普通弹幕,25,978f678b
答辩,2分36秒,2023--04--11 16:21:57,顶部弹幕,25,28356282
888888,0分44秒,2023--04--11 16:06:07,普通弹幕,25,540f252
哇！,0分12秒,2023--04--11 15:28:32,普通弹幕,25,6e240938
海挪~,6分23秒,2023--04--11 15:27:49,普通弹幕,25,6e240938
8888888,0分30秒,2023--04--11 15:25:45,普通弹幕,25,d81d2b96
8,0分24秒,2023--04--11 15:21:18,普通弹幕,25,4b88cac5
888888,0分18秒,2023--04--11 15:00:22,普通弹幕,25,1c050ef2
888888,0分32秒,2023--04--11 14:55:07,普通弹幕,25,c32488ee
蛋挞皮好吃！,0分34秒,2023--04--11 14:38:47,普通弹幕,25,4ebac129
88888,0分17秒,2023--04--11 14:04:44,普通弹幕,25,2c8e9489
好可爱啊！！！,6分51秒,2023--04--11 13:54:32,普通弹幕,25,c769766e
888888,0分48秒,2023--04--11 13:54:02,普通弹幕,25,91957e10
鸡蛋糕,0分28秒,2023--04--11 13:45:14,普通弹幕,25,2b13c22
888888,0分22秒,2023--04--11 13:44:10,普通弹幕,25,f496601b
no,5分29秒,2023--04--11 13:40:31,普通弹幕,25,334e7af4
888888,0分46秒,2023--04--11 13:38:16,普通弹幕,25,10c62fff
88888888,0分19秒,2023--04--11 13:35:24,普通弹幕,25,418dd5b3
888888,0分18秒,2023--04--11 13:10:11,普通弹幕,25,285d8df7
这么小声还想做蛋挞？？！,2分59秒,2023--04--11 13:10:06,普通弹幕,25,e6e026e1
哈哈哈哈我就知道！,2分36秒,2023--04--11 13:03:46,普通弹幕,25,cf054ec6
888888,0分21秒,2023--04--11 12:56:13,普通弹幕,25,6eda92dd
888888,0分30秒,2023--04--11 12:52:44,普通弹幕,25,27c4b270
傻嗨嗨,3分48秒,2023--04--11 12:52:37,普通弹幕,25,3b3acfe7
热量炸弹，大姨变秃了也变强了,0分32秒,2023--04--11 12:51:19,普通弹幕,25,a0bfa682
巴斯克蛋糕…,0分12秒,2023--04--11 12:41:11,普通弹幕,25,164b9a3
8,0分22秒,2023--04--11 12:32:30,普通弹幕,25,eb9598b9
8888888,0分17秒,2023--04--11 12:22:47,普通弹幕,25,a30b6b66
888888,0分52秒,2023--04--11 12:08:11,顶部弹幕,25,907f0101
88888888,1分1秒,2023--04--11 12:05:34,普通弹幕,25,e45a2560
都↑没↓有→,2分15秒,2023--04--11 11:47:36,普通弹幕,25,e618782c
审核：什么B动静,0分59秒,2023--04--11 11:43:28,普通弹幕,25,e618782c
88888888,0分16秒,2023--04--11 11:39:15,普通弹幕,25,5bb7f673
8,0分25秒,2023--04--11 11:22:30,普通弹幕,25,b5df14a8
888888,0分24秒,2023--04--11 10:33:45,普通弹幕,25,bb2e7440
