弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
请 选 择 你 的 英 雄,0分3秒,2020--09--29 00:30:24,普通弹幕,25,c1604156
牛奶，咖喱，土豆，豌豆，梨子，西瓜，咸蛋,0分26秒,2020--08--03 14:00:56,顶部弹幕,25,68851035
黄        金        体        验        镇        魂        曲,0分3秒,2019--10--07 20:53:14,顶部弹幕,25,261e9d6
让我独享经验,0分53秒,2020--10--05 09:51:58,顶部弹幕,25,ab5b765f
牛奶 咖喱 土豆 豌豆 你是个咸蛋,0分26秒,2020--04--17 00:37:32,普通弹幕,25,35b95834
狗 熊 蹭 树,0分45秒,2020--09--26 23:30:06,顶部弹幕,25,e994d10a
齐           楚                燕                    秦                  赵                魏            韩,0分9秒,2019--10--19 23:56:08,顶部弹幕,25,4e7238ff
梦开始的地方,0分6秒,2020--10--02 14:55:09,顶部弹幕,25,aa338a34
熊二蹭树,0分46秒,2020--10--04 12:05:20,顶部弹幕,25,45c14e5f
鲤                    鱼                     打                     挺,1分18秒,2019--11--20 00:21:45,普通弹幕,25,33232310
恐龙妈妈提笔忘字,0分11秒,2020--10--10 22:16:20,普通弹幕,25,4edb886f
榴莲咖喱土豆豌豆梨西瓜咸蛋,0分26秒,2020--10--02 23:06:23,顶部弹幕,25,4fad47b
非战斗人员请撤离,0分20秒,2020--09--10 19:04:56,普通弹幕,25,f45a7880
牛奶，咖喱，土豆，豌豆，梨，西瓜，咸蛋,0分26秒,2020--07--18 19:25:13,顶部弹幕,25,3301c3fc
牛奶咖喱土豆豌豆梨西瓜咸蛋,0分25秒,2020--11--30 19:49:57,普通弹幕,25,1dfe711d
请选择你的英雄。,0分2秒,2020--09--10 11:50:31,普通弹幕,25,656357a1
榴莲 咖喱 土豆 豌豆 梨 西瓜 咸蛋,0分28秒,2020--07--26 08:51:03,普通弹幕,25,ce02c1d6
精   神   食   粮,0分0秒,2020--04--02 21:47:14,顶部弹幕,25,c545b7c9
仙                    人                    指                    路,0分38秒,2019--10--11 13:41:51,顶部弹幕,25,90377d8b
光   翼   展    开,1分16秒,2021--05--01 19:01:05,顶部弹幕,25,bddaa763
牛奶   咖喱   土豆   豌豆  你西瓜生蛋,0分27秒,2020--09--05 15:57:46,普通弹幕,25,5d634260
牛奶咖喱土豆豌豆梨西瓜咸蛋,0分26秒,2020--10--05 22:48:43,普通弹幕,25,d08d2195
非正常拍摄哈哈哈哈哈笑死,0分5秒,2020--01--18 12:17:19,普通弹幕,25,772d7d1e
故            技             重               施                                                        ,1分6秒,2019--11--01 19:43:22,普通弹幕,25,c79291e8
众               神               归               位,0分3秒,2019--10--03 12:35:00,顶部弹幕,25,1123739c
选择你的英雄,0分0秒,2020--10--02 17:49:27,普通弹幕,25,e74fa43
仙                                        人                                        指               路,0分37秒,2019--09--07 12:55:49,普通弹幕,25,58205b1a
籽  岷  挖  矿,1分24秒,2021--02--07 09:55:15,顶部弹幕,25,22ef3d84
牛奶  咖喱  土豆  豌豆  梨  西瓜  咸蛋,0分27秒,2020--08--20 21:40:32,普通弹幕,25,e2069998
众               神               归               位,0分11秒,2019--09--27 12:43:29,顶部弹幕,25,5f1dba21
摸摸妈妈机翼摸肚啊咖喱苦多,0分20秒,2021--11--20 15:53:45,普通弹幕,25,c2d5385d
