弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
我爱香菜！！,1分37秒,2023--01--30 18:14:26,普通弹幕,25,1d4eb81a
纵享丝滑,5分34秒,2023--01--29 20:56:16,普通弹幕,25,a81e7d4f
咩~,0分32秒,2023--01--29 15:04:47,普通弹幕,25,b9f61342
隔壁村的小狗都馋哭了。,5分28秒,2023--01--29 09:48:04,普通弹幕,25,88286f81
好消息是做好了，坏消息是鸡腿没熟。,4分17秒,2023--01--29 09:46:45,普通弹幕,25,88286f81
2019年呢？,0分18秒,2023--01--29 09:42:36,普通弹幕,25,88286f81
《绵羊料理有多少根手指头放在鸡腿上》,4分55秒,2023--01--29 00:06:19,普通弹幕,25,7b2d7253
[前方高能],0分36秒,2023--01--28 23:31:30,普通弹幕,25,f0e5c76
[ohhh],0分8秒,2023--01--28 23:31:01,普通弹幕,25,f0e5c76
羊话：9e5毫秒,1分18秒,2023--01--28 22:52:31,顶部弹幕,25,e9ed995b
《我的火腿肠很大》,0分55秒,2023--01--28 18:33:25,普通弹幕,25,b7b482b
绵羊体重:我谢谢你啊,5分35秒,2023--01--28 16:56:35,普通弹幕,25,80ea8e31
无缝p图,0分25秒,2023--01--28 09:51:14,普通弹幕,25,d9210b00
现在是2023好吗,0分21秒,2023--01--28 09:50:55,普通弹幕,25,d9210b00
顶多像个麦克风,3分28秒,2023--01--28 08:37:54,普通弹幕,25,b83f2f1d
好像新垣结衣啊！,5分14秒,2023--01--27 17:37:39,普通弹幕,25,450a3b06
院长那边来的,4分58秒,2023--01--27 13:56:00,普通弹幕,25,fe7550d
大负豪,0分30秒,2023--01--27 11:14:00,普通弹幕,25,5285768e
看完小狗后差点认为这是广告,2分20秒,2023--01--27 08:02:22,普通弹幕,25,fbf2755f
成本真高,0分55秒,2023--01--26 23:49:21,普通弹幕,25,17af087b
记住他，小潮院长未来某期视频有,5分0秒,2023--01--26 21:26:41,普通弹幕,25,fbf2755f
盲猜里面肉没熟,3分49秒,2023--01--26 20:11:12,普通弹幕,25,ac1ea2
2022表示已经量产,1分7秒,2023--01--26 02:26:56,普通弹幕,25,9ecc98d5
我的香菜 ！！！！！,1分43秒,2023--01--25 19:43:54,顶部弹幕,25,90121526
羊村（5）,4分57秒,2023--01--25 17:26:59,普通弹幕,25,51986b6e
我都不要,1分48秒,2023--01--24 21:35:49,普通弹幕,25,658f0a48
不加香菜,1分42秒,2023--01--24 21:35:41,普通弹幕,25,658f0a48
油条,3分3秒,2023--01--24 17:55:06,顶部弹幕,25,7eed5b6a
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,4分4秒,2023--01--24 17:02:19,普通弹幕,25,d4b963c
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2分8秒,2023--01--24 17:00:55,普通弹幕,25,d4b963c
哈哈哈哈哈哈哈哈哈,1分24秒,2023--01--24 17:00:23,普通弹幕,25,d4b963c
《热狗》,3分6秒,2023--01--23 11:57:37,普通弹幕,25,1faad6f9
小傲：我不到啊,4分55秒,2023--01--22 23:14:37,底部弹幕,25,966dc680
2022年过来人表示，它翻车了，都上了3.15晚会了,6分2秒,2023--01--22 20:43:17,普通弹幕,25,48379413
像个话筒,3分24秒,2023--01--22 20:40:05,普通弹幕,25,48379413
已经死了（doge,4分22秒,2023--01--22 18:34:27,普通弹幕,25,54b34ee3
拉,2分13秒,2023--01--22 18:31:55,普通弹幕,25,54b34ee3
绿了,1分58秒,2023--01--22 18:31:40,普通弹幕,25,54b34ee3
1800,1分24秒,2023--01--22 18:31:06,普通弹幕,25,54b34ee3
羊村二好像有这个画面来着，问绵羊料理姐姐用几根手指握住鸡腿(*^▽^*),5分9秒,2023--01--22 10:20:42,普通弹幕,25,e2e61b0e
不加香菜,1分30秒,2023--01--21 20:35:51,普通弹幕,25,bd9cb7fe
请问绵阳料理姐姐，墙上挂着几个锅,4分55秒,2023--01--21 19:01:40,普通弹幕,25,84164c89
[ohhh],4分49秒,2023--01--21 15:37:24,普通弹幕,25,39ec69c4
我是2023年的，但是我为什么还能看到这一个视频？,0分30秒,2023--01--21 14:21:12,普通弹幕,25,f7cb7e99
双汇王中王中王，不好意思走错片场了（郎某中的粉丝,6分5秒,2023--01--20 22:21:14,普通弹幕,25,d2af3716
发家致负,0分47秒,2023--01--20 21:46:35,普通弹幕,25,a19d71e1
下次一定,5分42秒,2023--01--20 13:24:46,普通弹幕,25,fdd73721
怎么哪里都有ky的,2分34秒,2023--01--19 21:59:32,普通弹幕,25,2e996df6
怎么一句话都能ky啊…,2分22秒,2023--01--19 21:58:55,普通弹幕,25,2e996df6
尊滴好看！,6分30秒,2023--01--19 12:46:59,顶部弹幕,25,f8c8f1b
23：08,5分43秒,2023--01--16 23:08:44,普通弹幕,25,c64a54ed
三根（即答,4分55秒,2023--01--16 16:06:18,普通弹幕,25,b5bad49c
肘姐,3分3秒,2023--01--16 02:21:10,普通弹幕,25,173c59ae
鄙视？,3分24秒,2023--01--16 02:08:27,普通弹幕,25,e7d944cf
问：绵阳料理姐姐左手有几个手指头放在鸡腿上？,4分54秒,2023--01--15 21:48:11,普通弹幕,25,76296c31
某幻：终于有人做没有香菜的了,1分36秒,2023--01--15 18:55:40,普通弹幕,25,764915c0
小时候吃过,0分36秒,2023--01--15 17:46:53,普通弹幕,25,2d5cbf54
22个人吱个声！,0分0秒,2023--01--14 22:11:33,普通弹幕,25,c467b134
坤话:6坤分,1分18秒,2023--01--14 17:31:17,顶部弹幕,25,f7ba19a4
《肘姐》,2分49秒,2023--01--14 04:27:01,普通弹幕,25,db2dd3ec
记住这一幕，隔壁小潮的羊村会考,4分56秒,2023--01--14 00:33:28,普通弹幕,25,61e391aa
香菜达咩！,1分46秒,2023--01--13 16:43:57,普通弹幕,25,f0f81f97
不要香菜！,1分36秒,2023--01--13 12:57:55,普通弹幕,25,2de12a01
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh],4分42秒,2023--01--13 10:33:03,普通弹幕,25,1fdb702e
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh],3分51秒,2023--01--13 10:32:12,普通弹幕,25,1fdb702e
记住这里，小潮的羊村5要考,4分56秒,2023--01--12 22:08:44,普通弹幕,25,89f67b8
<OHOH>,5分11秒,2023--01--12 20:44:28,普通弹幕,25,97a5969c
放弃这一层,1分42秒,2023--01--12 20:27:00,普通弹幕,25,2e9a4399
..,3分0秒,2023--01--12 17:31:53,普通弹幕,25,527f4593
绵羊料理多少根手指头放在鸡腿上,4分55秒,2023--01--12 10:01:00,普通弹幕,25,ad6b0ba9
《爆满》,3分5秒,2023--01--11 11:37:26,顶部弹幕,25,eab4069e
没熟?,3分59秒,2023--01--10 23:16:05,普通弹幕,25,460481ad
《稍加》,5分51秒,2023--01--10 23:11:03,普通弹幕,25,e6c1c257
今年2023了。。,0分20秒,2023--01--10 21:42:14,普通弹幕,25,23dd4e6d
羊村2:有几根手指在鸡腿上,4分55秒,2023--01--10 21:33:10,普通弹幕,25,f5439fc5
小狗:美食区有4个字的吗？,0分6秒,2023--01--10 19:54:10,顶部弹幕,25,1a584e0a
热狗吗,3分8秒,2023--01--10 19:09:44,普通弹幕,25,b4b4fac0
问：墙角里的花是什么颜色？,4分55秒,2023--01--10 18:12:04,顶部弹幕,25,1d23ad07
玛莎拉,1分53秒,2023--01--10 14:31:34,普通弹幕,25,ceded315
[OHHHH],4分43秒,2023--01--10 12:17:12,普通弹幕,25,b0f1b3d4
三根！！！！！！（超大声）,4分55秒,2023--01--10 08:21:21,普通弹幕,25,e1b6e436
lplooolll,6分24秒,2023--01--09 15:50:58,普通弹幕,25,12d8776c
羊村图的出处,4分55秒,2023--01--08 22:46:18,普通弹幕,25,8c9b3fb0
基因不允许我吃香菜（苦笑）,1分43秒,2023--01--08 21:30:40,普通弹幕,25,c38dabf3
绵羊来一份,5分39秒,2023--01--08 15:54:49,普通弹幕,25,492e1568
外焦不熟,4分6秒,2023--01--08 15:53:03,普通弹幕,25,492e1568
鸡腿没熟,3分50秒,2023--01--08 15:52:34,普通弹幕,25,492e1568
鸡腿没熟,3分20秒,2023--01--08 15:52:00,普通弹幕,25,492e1568
进度条说明了一切,3分49秒,2023--01--08 15:50:49,普通弹幕,25,492e1568
我小名叫桃桃,0分35秒,2023--01--08 15:50:02,普通弹幕,25,8e39343f
(根据我多年的翻车经验),3分15秒,2023--01--08 15:48:43,普通弹幕,25,492e1568
66666,0分21秒,2023--01--08 14:28:12,普通弹幕,25,8302ac69
小潮院长羊5时代前来,4分54秒,2023--01--07 22:39:34,普通弹幕,25,620666f2
哈哈哈哈哈,2分49秒,2023--01--07 18:04:51,普通弹幕,25,3b304f4
我比较喜欢韭菜,1分42秒,2023--01--07 17:50:18,普通弹幕,25,856fde02
绵羊料理姐姐的左手有几根手指放在鸡腿上？（羊村2乱入）,4分55秒,2023--01--07 11:22:46,普通弹幕,25,57eb1cc9
上链接,4分54秒,2023--01--07 07:48:23,普通弹幕,25,d90f7fe2
惠   灵   顿   鸡   腿,4分2秒,2023--01--06 23:05:44,顶部弹幕,25,eabd7879
这里耳机双声道！！！,3分4秒,2023--01--06 21:07:17,普通弹幕,25,9d7e14c8
话说。,1分28秒,2023--01--06 15:28:12,普通弹幕,25,7197fb78
《从百草园到三味书屋》,0分23秒,2023--01--06 14:40:13,顶部弹幕,25,c41f4e17
《墙角里的花是什么颜色》,4分55秒,2023--01--06 11:37:20,普通弹幕,25,777b61a8
绿色健康小清新,1分32秒,2023--01--06 11:34:06,普通弹幕,25,777b61a8
《美食区有四个字的吗》,0分0秒,2023--01--06 11:32:26,普通弹幕,25,777b61a8
别加香菜,1分40秒,2023--01--06 09:58:29,普通弹幕,25,81582a94
魔  芋,3分25秒,2023--01--05 21:08:33,顶部弹幕,25,b2ffc8cc
讲个恐怖故事：进度条,2分44秒,2023--01--05 21:07:29,普通弹幕,25,b2ffc8cc
注：此处皆为幻想,0分27秒,2023--01--05 21:04:49,顶部弹幕,25,b2ffc8cc
下次一定,6分2秒,2023--01--05 17:52:02,普通弹幕,25,8a0eff6
下次一定,2分34秒,2023--01--05 17:49:10,普通弹幕,25,8a0eff6
《59人》,0分29秒,2023--01--05 17:09:19,普通弹幕,25,17b2f5ba
以下全文背诵,5分22秒,2023--01--05 16:29:52,普通弹幕,25,6355fc59
外焦里嫩~~~,4分5秒,2023--01--05 15:19:23,普通弹幕,25,4db01372
怎么变成忙过了！,3分11秒,2023--01--05 15:18:13,普通弹幕,25,4db01372
为什么不先把生的肉煮到半熟呢？,4分26秒,2023--01--05 13:17:39,普通弹幕,25,9fd87a0
5:03,5分20秒,2023--01--05 10:39:40,普通弹幕,25,c620efe1
5:3,5分18秒,2023--01--05 10:39:15,普通弹幕,25,c620efe1
o.o你够了,0分58秒,2023--01--05 00:32:10,普通弹幕,25,219f51fa
..n.,5分21秒,2023--01--04 23:41:28,普通弹幕,25,7977c5a6
我恨香菜,1分39秒,2023--01--04 21:04:53,顶部弹幕,25,f1196042
要生菜！,1分50秒,2023--01--04 20:24:10,普通弹幕,25,9754217d
《自信》也就这点了（doge）,6分16秒,2023--01--04 19:55:06,普通弹幕,25,e9e08827
受不了了,6分31秒,2023--01--04 19:19:51,普通弹幕,25,8b837d6a
进度条不对,2分4秒,2023--01--04 19:12:49,普通弹幕,25,32a3c66f
趁他不注意把他炸了,3分41秒,2023--01--04 16:35:16,普通弹幕,25,750ab6c2
我也好想吃呀,5分14秒,2023--01--04 15:40:21,普通弹幕,25,c175b1d7
不要香菜，不要香菜，不要香菜,1分33秒,2023--01--04 14:45:20,普通弹幕,25,1155c9ad
《下辈子丕定》,5分0秒,2023--01--04 13:52:12,普通弹幕,25,c70085f4
《下辈子也不一定》,2分30秒,2023--01--04 13:49:42,普通弹幕,25,c70085f4
不吃香菜。,1分40秒,2023--01--04 11:34:11,普通弹幕,25,4181a9de
2023年了,0分20秒,2023--01--03 16:18:49,普通弹幕,25,75192d21
香菜！,1分34秒,2023--01--03 16:16:13,普通弹幕,25,4e7b67a8
丕要！！！！！！！！！！！！,1分34秒,2023--01--03 14:12:49,顶部弹幕,25,f53f820f
三根！！！（羊村来的）,5分1秒,2023--01--03 10:29:16,普通弹幕,25,7e2fec21
《下次一定，下次一定》,4分55秒,2023--01--03 10:14:36,普通弹幕,25,81582a94
问：绵羊左手有多少只手指在鸡腿上【1星（10块钱）】,4分55秒,2023--01--03 03:09:14,普通弹幕,25,ba57129a
《墙角里的花是什么颜色？有几个锅挂在了墙上？绵羊左手几根手指在鸡腿上》,4分55秒,2023--01--02 22:43:44,普通弹幕,25,9f6c97d3
我为什么要在晚上看这个,5分30秒,2023--01--02 21:29:18,普通弹幕,25,e5b385df
[OHHHH],0分51秒,2023--01--02 18:46:19,普通弹幕,25,916d8da6
现在已经2022年了,0分25秒,2023--01--02 11:19:55,普通弹幕,25,f673165b
鸡腿旋转一分钟,4分54秒,2023--01--01 08:13:32,普通弹幕,25,644877bf
牛,0分38秒,2022--12--31 19:35:26,普通弹幕,18,2afa79bc
牛,0分21秒,2022--12--31 19:35:10,底部弹幕,18,2afa79bc
牛,0分2秒,2022--12--31 19:34:52,底部弹幕,18,2afa79bc
这卖20一个都得排队抢购,5分20秒,2022--12--31 15:30:46,普通弹幕,25,2a99d0a9
2022的最后一天来报道,0分21秒,2022--12--31 13:26:46,普通弹幕,25,dc405a53
新鲜的元素（鸡腿）,0分42秒,2022--12--30 23:53:27,顶部弹幕,25,da177973
非法制造军火,3分55秒,2022--12--30 20:57:00,普通弹幕,25,1f4b7b8f
shi,3分28秒,2022--12--30 20:56:21,普通弹幕,25,1f4b7b8f
手榴弹爆炸了,2分44秒,2022--12--30 20:55:32,普通弹幕,25,1f4b7b8f
jajsjjsjsjsjsns,1分16秒,2022--12--30 20:54:17,普通弹幕,25,1f4b7b8f
原子弹面包,0分53秒,2022--12--30 20:53:33,普通弹幕,25,1f4b7b8f
[ohhhhhh],4分3秒,2022--12--30 17:22:27,普通弹幕,25,aad2b36b
《绵羊左手几根手指在鸡腿上》,4分55秒,2022--12--30 16:33:32,普通弹幕,25,9f6c97d3
?,0分0秒,2022--12--30 15:13:18,普通弹幕,25,620cc3d3
《绵羊料理多少根手指头放在鸡腿上》,5分0秒,2022--12--29 21:05:43,普通弹幕,25,fbb18986
变成寿司,4分14秒,2022--12--29 20:58:02,普通弹幕,25,4aae55dc
《  稍  加  改  良  》,5分56秒,2022--12--29 18:25:20,普通弹幕,25,c70085f4
氢,0分43秒,2022--12--29 17:40:04,普通弹幕,25,790c91fa
墙上有几个锅(doge),4分59秒,2022--12--29 09:08:44,普通弹幕,25,a9d8969a
车,2分27秒,2022--12--28 18:49:04,普通弹幕,25,51d14e94
翻,2分13秒,2022--12--28 18:48:50,普通弹幕,25,51d14e94
我饿了，看着阿姨吃太难受了,5分13秒,2022--12--28 17:38:23,普通弹幕,25,ad967b95
哈哈哈哈哈哈哈哈哈或或,4分12秒,2022--12--28 17:36:35,普通弹幕,25,ad967b95
进度条警告,3分6秒,2022--12--28 12:08:03,普通弹幕,25,a90f5b8b
《稍加改良》,5分53秒,2022--12--28 12:01:05,普通弹幕,25,75192d21
问：绵阳姐姐有多少根手指放在鸡腿上,4分56秒,2022--12--28 11:49:58,顶部弹幕,25,76975894
翻译：外酥里嫩，还能拉丝！,5分30秒,2022--12--28 11:37:25,底部弹幕,25,4baedc3f
请问绵阳料理姐姐左手有几根手指放在面包上,4分55秒,2022--12--28 09:53:50,普通弹幕,25,bc795081
